han	han+Pcle

dárogiel	dárogiel+A+Attr

Dá	dá+Adv

duiskalaččat	duiskalaš+N+Pl+Nom
duiskalaččat	duiskalaš+A+Pl+Nom

áinnas	áinnas+Adv

issoras	issoras+A+Attr
issoras	issoras+A+Sg+Nom
issoras	issoras+Adv

goassige	goassat+V+IV+PrsPrc+Foc/Pos-ge
goassige	goassat+V+IV+PrsPrc+Foc/Neg-ge
goassige	goassige+Adv

loahpageahčen	loahpageahčen+Po
loahpageahčen	loahpageahčen+Pr
loahpageahčen	loahpageahčen+Adv

duššefal	duššefal+Adv

hal	hal+Pcle

oppanassiige	oppanassii+Adv+Foc/Pos-ge
oppanassiige	oppanassii+Adv+Foc/Neg-ge

dovddus	dovdu+N+Sg+Loc
dovddus	dovddus+A+Sg+Nom
dovddus	dovddus+A+Attr

dáidá	dáidit+V+IV+Ind+Prs+Sg3

borrat	borrat+V+TV+Inf
borrat	borrat+V+TV+Ind+Prs+Pl1

duiskka	duiska+N+Sg+Acc
duiskka	duiska+N+Sg+Gen
duiskka	duiska+A+Sg+Acc
duiskka	duiska+A+Sg+Gen

bat	bat+Pcle

ábuhan	áhpu+N+Sg+Acc+Foc/han
ábuhan	áhpu+N+Sg+Gen+Foc/han

ovdaolmmoš	ovdaolmmoš+N+Sg+Nom

norgalaš	norgalaš+N+Sg+Nom
norgalaš	norgalaš+A+Sg+Nom
norgalaš	norgalaš+A+Attr

hirbmadit	hirbmat+A+Comp+Attr
hirbmadit	hirbmat+A+Comp+Sg+Nom
hirbmadit	hirbmadit+Adv

easkka	easka+N+Sg+Acc
easkka	easka+N+Sg+Gen
easkka	easkka+Adv

doaimmahusjoavkku	doaimmahusjoavku+N+Sg+Acc
doaimmahusjoavkku	doaimmahusjoavku+N+Sg+Gen

aŋkke	aŋkke+Adv


mekánalaš	mekánalaš+A+Sg+Nom
mekánalaš	mekánalaš+A+Attr

doaimmahusjoavkkus	doaimmahusjoavku+N+Sg+Loc

veadjemeahttun	veadjemeahttun+A+Attr
veadjemeahttun	veadjemeahttun+A+Sg+Acc
veadjemeahttun	veadjemeahttun+A+Sg+Gen
veadjemeahttun	veadjemeahttun+A+Sg+Nom

km	km+N+ABBR

dáidde	dáidit+V+IV+Ind+Prs+ConNeg

dáhttu	dáhttu+N+Sg+Nom

NS	NS+N+ACR+Sg+Acc
NS	NS+N+ACR+Sg+Gen
NS	NS+N+ACR+Sg+Nom

njulgestaga	njulgestaga+Adv

diehttelas	diehttelas+A+Attr
diehttelas	diehttelas+A+Sg+Nom
diehttelas	diehttelas+Adv

obanassiige	obanassii+Adv+Foc/Pos-ge
obanassiige	obanassii+Adv+Foc/Neg-ge

norgga	norga+Err/Lex+N+Sg+Acc
norgga	norga+Err/Lex+N+Sg+Gen
norgga	norgga+A+Attr

iešalddis	iešalddis+Adv

gurut	gurut+A+Attr

en	en+Adv

ba	ba+Pcle

vuohččan	vuohččan+Adv

moanat	moanat+Pron+Indef+Pl+Nom

iešdovddu	iešdovdu+N+Sg+Acc
iešdovddu	iešdovdu+N+Sg+Gen

Easkka	easkka+Adv

Diehtemeahttunvuohta	diehtemeahttunvuohta+N+Sg+Nom

dá	dá+Adv

issorasat	issorasat+Adv

gaskkohagaid	gaskkohagaid+Adv

gait	gait+Adv
gait	gait+Pron+Indef+Acc
gait	gait+Pron+Indef+Attr
gait	gait+Pron+Indef+Nom

eisege	eisege+Adv

at	at+Err/Lex+CC

vulos	vulos+Adv

earálágan	earálágan+v1+A+Attr
earálágan	earálágan+v1+A+Sg+Nom
earálágan	earálágan+Adv

sosiálalaš	sosiálalaš+A+Sg+Nom
sosiálalaš	sosiálalaš+A+Attr

proavás	proavás+Err/Orth+N+Sg+Acc+Err/Orth
proavás	proavás+Err/Orth+N+Sg+Gen+Err/Orth
proavás	proavás+Err/Orth+N+Sg+Nom
proavás	proavás+N+Sg+Nom
proavás	proavás+N+Sg+Acc+Err/Orth
proavás	proavás+N+Sg+Gen+Err/Orth

dáhtui	dáhttut+V+TV+Ind+Prt+Sg3
dáhtui	dáhttut+V+TV+Ind+Prt+Err/Orth+Sg3

mahkáš	mahkáš+Adv

guhkkelii	guhkkelii+Adv

Diddi	diddi+N+Sg+Nom

dáiddii	dáidit+V+IV+Ind+Prt+Sg3
dáiddii	dáidit+V+IV+Ind+Prt+Err/Orth+Sg3

boasttu	boasttu+Err/Lex+A+Attr

bájuhit	bájuhit+V+TV+Inf
bájuhit	bájuhit+V+TV+Ind+Prs+Pl1
bájuhit	bájuhit+V+TV+Ind+Prs+Pl3
bájuhit	bájuhit+V+TV+Ind+Prt+Sg2

aitto	aitto+Pcle

ovdalaš	ovdalaš+A+Sg+Nom
ovdalaš	ovdalaš+A+Attr
ovdalaš	ovdalaš+Adv

máhccat	máhccat+V+IV+Inf
máhccat	máhccat+V+IV+Ind+Prs+Pl1

hávális	hávális+Adv

gollan	gollan+N+Sg+Gen
gollan	gollan+N+Sg+Nom
gollan	gollat+V+IV+PrfPrc
gollan	gollat+V+IV+Actio+Gen
gollan	gollat+V+IV+Actio+Nom
gollan	gollat+V+IV+Ind+Prt+ConNeg

gárttai	gártat+V+IV+Ind+Prt+Sg3
gárttai	gártat+V+IV+Ind+Prt+Err/Orth+Sg3

ealáhahkii	ealáhat+N+Sg+Ill

diehttelasat	diehttelas+A+Pl+Nom
diehttelasat	diehttelas+A+Comp+Attr
diehttelasat	diehttelas+A+Comp+Sg+Nom
diehttelasat	diehttelas+A+Pl+Nom

bistán	bistit+V+IV+PrfPrc
bistán	bistit+V+IV+Ind+Prt+ConNeg

å	å+N+ABBR+Attr
å	å+N+ABBR+Sg+Acc
å	å+N+ABBR+Sg+Gen
å	å+N+ABBR+Sg+Nom

máŋgasat	máŋggas+N+Coll+Pl+Nom

leavssuid	leaksu+N+Err/Orth+Pl+Acc
leavssuid	leaksu+N+Err/Orth+Pl+Gen
leavssuid	leaksu+N+Pl+Acc
leavssuid	leaksu+N+Pl+Gen

goasse	goasse+Adv

geafes	geafi+v2+A+Attr
geafes	geafi+v1+A+Attr

dássážii	dássážii+Adv

badjelis	badjelis+Po
badjelis	badjelis+Pr
badjelis	badjelis+Adv

earáláhkái	eará láhkai+Err/Orth+Adv

daguhii	daguhit+V+TV+Ind+Prt+Sg3

biiggát	biigá+N+Pl+Nom

bálljo	bálljo+Adv

já	já+Interj

gis	gis+Pcle

dáruiduvvan	dáruiduvvat+V+IV+PrfPrc
dáruiduvvan	dáruiduvvat+V+IV+Actio+Gen
dáruiduvvan	dáruiduvvat+V+IV+Actio+Nom
dáruiduvvan	dáruiduvvat+V+IV+Ind+Prt+ConNeg

bearehaga	bearehaga+Adv

vuostálastit	vuostálasti+N+NomAg+Pl+Nom
vuostálastit	vuostálastit+V+TV+Inf
vuostálastit	vuostálastit+V+TV+Imprt+Pl2
vuostálastit	vuostálastit+V+TV+Ind+Prs+Pl1

vearrámus	vearrái+A+Superl+Attr
vearrámus	vearrái+A+Superl+Sg+Nom

váidalit	váidalit+V+TV+Inf
váidalit	váidalit+V+TV+Ind+Prt+Sg2
váidalit	váidalit+V+TV+Ind+Prs+Pl1
váidalit	váidalit+V+TV+Ind+Prs+Pl3

oainnat	oainnat+Adv

mátkkoštit	mátkkoštit+V+IV+Inf
mátkkoštit	mátkkoštit+V+IV+Ind+Prs+Pl1
mátkkoštit	mátkkoštit+V+IV+Ind+Prs+Pl3
